,election_year,election_type,office_name,primary_party,district_name,candidate_party,candidate_name,votes,votes_rank,incumbent,CO_ID
3947,2006,General,State Senate,0,21,Democratic,betty boyd,23175.0,1,1.0,20065621885.0
3970,2006,Primary,State Senate,Democratic,21,Democratic,betty boyd,5423.0,1,1.0,20065621885.0
4018,2008,General,State Senate,0,21,Democratic,betty boyd,33304.0,1,1.0,20065621885.0
4048,2008,Primary,State Senate,Democratic,21,Democratic,betty boyd,6485.0,1,1.0,20065621885.0
1051,2006,Primary,State Representative,Republican,37,Republican,betty habig,3279.0,2,0.0,20045658166.0
116,2000,General,State Representative,0,47,Libertarian,betty mccanless,4372.0,2,0.0,
58,2000,General,State Representative,0,25,Democratic,bill astle,11448.0,2,0.0,19990925004
189,2000,Primary,State Representative,Democratic,25,Democratic,bill astle,1361.0,1,0.0,19990925004
636,2004,General,State Representative,0,33,Republican,bill berens,19426.0,1,0.0,20045637570
794,2004,Primary,State Representative,Republican,33,Republican,bill berens,4169.0,1,0.0,20045637570
886,2006,General,State Representative,0,33,Republican,bill berens,14398.0,2,1.0,20045637570
